57.046341,9.922839
57.046429,9.922866
57.046519,9.922487
57.046613,9.922045
57.046133,9.921712
57.046130,9.921610
57.045918,9.922074
57.045823,9.922268
57.045874,9.922343
57.045821,9.922552
57.045726,9.922788
57.045638,9.923059
57.045667,9.923059
57.045691,9.923086
57.045669,9.923225
57.045668,9.923523
57.045651,9.923945
57.045850,9.924073
57.045776,9.924474
57.045684,9.925049
57.045845,9.925136
57.045999,9.925273
57.046179,9.925453
57.045982,9.925957
57.045859,9.926391
57.045795,9.926719
57.045766,9.927242
57.045748,9.927757
57.045785,9.927774
57.045866,9.927857
57.046074,9.928109
57.046139,9.928151
57.046326,9.928274
57.046443,9.928289
57.046529,9.928252
57.046790,9.928264
57.046790,9.928333
