57.046790,9.928333
57.046788,9.928259
57.046917,9.928272
57.046961,9.928243
57.046982,9.928190
57.047060,9.928255
57.046969,9.928540
57.046800,9.929032
57.046649,9.929246
57.046494,9.929518
57.046392,9.929440
57.046425,9.929035
57.046475,9.928264
57.046569,9.927382
57.046632,9.926699
57.046654,9.926468
57.046660,9.926249
57.046653,9.925851
57.046645,9.925636
57.046642,9.925370
57.046645,9.925275
57.046629,9.925153
57.046544,9.925145
57.046432,9.925214
57.046291,9.925288
57.046356,9.924984
57.046453,9.924545
57.046223,9.924351
57.046224,9.923924
57.046232,9.923535
57.046169,9.923521
57.046037,9.923423
57.045861,9.923263
57.045669,9.923070
57.045495,9.923004
57.045356,9.922949
57.045271,9.922925
57.045151,9.922855
57.045138,9.922590
57.045136,9.922403
57.045178,9.922402
